Title,Who,Percentage,Total,Max,Kelv,Tom,Jake,Dan,Honey,,,,,
Transformers vs GI Joe,Kelv,40%,8,20,2,3,2,1,3,,,,,
The Auteur,Dan,75%,15,20,4,4,4,3,,,,,,
The Yellow M,Jake,55%,11,20,3,3,3,2,,,,,,
Daytripper,Tom,70%,14,20,4,4,4,2,,,,,,
Hip Hop family tree,Kelv,70%,14,20,3,4,5,2,,,,,,
GYO,Dan,65%,13,20,4,2,4,3,,,,,,
"Klaus/Tokyo Days, Bangkok Nights",Jake,0%,0,20,-,-,-,-,,,,,,
The Private Eye,Tom,75%,15,20,4,5,3,3,,,,,,
Batman: The doom that came to Gotham,Kelv,35%,7,20,1,3,1,2,,,,,,
Metabarons,Dan,80%,16,20,4,5,3,4,,,,,,
Patience,Jake,65%,13,20,4,5,4,0,,,,,,
Sing No Evil,Tom,60%,12,20,1,3,3,5,,,,,,
Wonder Woman: Earth One,Kelv,60%,12,20,3,3,3,3,,,,,,
Mister X,Dan,40%,8,20,3,2,1,2,,,,,,
The Encyclopaedia of early earth,Jake,90%,18,20,5,5,5,3,,,,,,
The Divine,Tom,55%,11,20,3,3,3,2,,,,,,
Dark Night: A true Batman story,Kelv,55%,11,20,3,4,2,2,,,,,,
Aleister and Adolf,Dan,30%,6,20,1,2,2,1,,,,,,
Misty,Jake,65%,13,20,3,4,4,2,,,,,,
Don Quixote,Tom,70%,14,20,3,4,3,4,,,,,,
Gundam,Kelv,65%,13,20,4,4,2,3,,,,,,
Resident Alien,Dan,75%,15,20,4,4,4,3,,,,,,
The adventures of John Blake,Jake,45%,9,20,2,3,3,1,,,,,,
The last American,Tom,65%,13,20,3,4,3,3,,,,,,
Yotsuba,Kelv,80%,16,20,5,3,5,3,,,,,,
KaijuMax,Dan,75%,15,20,4,4,2,5,,,,,,
Savage Town,Jake,55%,11,20,2,3,3,3,,,,,,
Black Hammer,Tom,75%,15,20,4,4,4,3,,,,,,
The Shadow hero,Kelv,80%,16,20,4,4,4,4,,,,,,
Rust,Dan,50%,10,20,3,2,3,2,,,,,,
Isaac the Pirate,Jake,0%,0,20,-,-,-,-,,,,,,
Extremity,Tom,93%,14,15,-,5,4,5,,,,,,
Sabrina,Jake,0%,0,15,-,-,-,-,,,,,,
Mage,Dan,60%,9,15,-,3,3,3,,,,,,
Rock Candy Mountain,Tom,73%,11,15,-,4,4,3,,,,,,
Cassandra Darke,Jake,60%,9,15,-,3,2,4,,,,,,
Grandville,Dan,60%,9,15,-,3,3,3,,,,,,
4 kids walk into a bank,Tom,40%,6,15,-,2,2,2,,,,,,
Square Eyes,Jake,33%,5,15,-,2,2,1,,,,,,
Beasts of Burden,Dan,80%,12,15,-,4,4,4,,,,,,
SnagglePuss,Tom,73%,11,15,-,3,4,4,,,,,,
Bone,Dan,73%,11,15,-,5,4,2,,,,,,
Skip,Jake,53%,8,15,-,3,3,2,,,,,,
Doomsday Clock,Dan,40%,6,15,-,2,2,2,,,,,,
Ken Games,Tom,53%,8,15,-,4,2,2,,,,,,
Asterix,Jake,40%,6,15,-,2,2,2,,,,,,
Silver Surfer Black,Tom,75%,15,20,4,4,4,3,,,,,,
Dalston Monsterzz,Dan,50%,10,20,2,4,2,2,,,,,,
Batman â€˜66,Kelv,50%,10,20,3,3,2,2,,,,,,
Naussica,Jake,65%,13,20,3,4,3,3,,,,,,
Everything,Tom,45%,9,20,3,3,2,1,,,,,,
Once & Future,Dan,70%,14,20,4,4,3,3,,,,,,
Batman Universe,Kelv,80%,16,20,4,4,4,4,,,,,,
The Witches,Jake,75%,15,20,4,4,4,3,,,,,,
TOTALS,,,591,1005,120,178,157,136,,,,,,
AVERAGES,,58.58%,10.9,,3.2,3.5,3.1,2.7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,